,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1901,"Amsterdam, North Holland, The Netherlands",unknown,0,0,t,Tuindorp Buiksloot,3,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Oud-Noord,52.39242,4.92422,Entire townhouse,Entire home/apt,4,1.5 baths,2.0,2.0,"[""Hangers"", ""Hair dryer"", ""Free street parking"", ""Shampoo"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""Lockbox"", ""Wifi"", ""Dryer"", ""Iron"", ""Essentials""]",57.0,7,30,7.0,7.0,1125.0,1125.0,7.0,1125.0,t,0,0,0,0,2,0,0,2018-08-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,1,2,0,0.05
1902,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,Oud-West,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Bos en Lommer,52.37512,4.85869,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""First aid kit"", ""Hair dryer"", ""Kitchen"", ""TV"", ""Heating"", ""Smoke alarm"", ""Washer"", ""Fire extinguisher"", ""Wifi"", ""Dryer"", ""Iron"", ""Essentials""]",65.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,f,0,0,0,0,17,0,0,2019-09-21,4.94,4.94,4.94,4.94,4.88,4.88,4.81,f,1,1,0,0,0.28
1903,"Amsterdam, North Holland, The Netherlands",unknown,0,0,f,unknown,0,0,"['email', 'phone', 'facebook', 'reviews', 'work_email']",t,f,Oostelijk Havengebied - Indische Buurt,52.35973,4.93426,Private room in rental unit,Private room,2,1 shared bath,1.0,1.9564237415477086,"[""Kitchen"", ""TV"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""Wifi"", ""Dryer"", ""Essentials""]",60.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,1,0,1,0,0
1904,"Amsterdam, Noord-Holland, The Netherlands",within an hour,100,100,f,Oud-West,3,3,"['email', 'phone', 'facebook', 'google', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,Westerpark,52.37824,4.86826,Private room in boat,Private room,2,1.5 baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor dining area"", ""Board games"", ""Extra pillows and blankets"", ""Central air conditioning"", ""Hair dryer"", ""Hot water kettle"", ""Waterfront"", ""Washer"", ""Dryer"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Dining table"", ""Cooking basics"", ""Free street parking"", ""TV with standard cable"", ""Cleaning products"", ""Refrigerator"", ""Fire pit"", ""Long term stays allowed"", ""Fire extinguisher"", ""Wifi"", ""Portable fans"", ""Outdoor furniture"", ""Essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Wine glasses"", ""Bikes"", ""Rituals body soap"", ""Crib"", ""Coffee maker"", ""Indoor fireplace"", ""Shampoo"", ""Shower gel"", ""Outdoor shower"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Boat slip"", ""Lock on bedroom door"", ""Backyard"", ""Bed linens"", ""Bluetooth sound system"", ""Microwave"", ""Carbon monoxide alarm"", ""Cable TV"", ""Freezer"", ""Paid parking off premises"", ""Host greets you"", ""Toaster"", ""Oven"", ""Dishwasher"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Heating"", ""Rituals conditioner""]",109.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,12,13,26,108,267,5,1,2020-02-15,4.79,4.8,4.82,4.87,4.87,4.71,4.64,t,3,1,2,0,3.01
1905,"Amsterdam, North Holland, The Netherlands",within an hour,100,100,f,Nieuwmarkt en Lastage,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Centrum-Oost,52.37356,4.90379,Private room in bed and breakfast,Private room,2,1 private bath,1.0,1.0,"[""Dedicated workspace: table"", ""Hot water kettle"", ""Hair dryer"", ""Waterfront"", ""Mini fridge"", ""TV with Netflix"", ""Hangers"", ""Dining table"", ""Long term stays allowed"", ""Fire extinguisher"", ""Wifi"", ""Outdoor furniture"", ""Essentials"", ""Clothing storage: closet"", ""Coffee maker"", ""Shampoo"", ""Laundromat nearby"", ""Hot water"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Carbon monoxide alarm"", ""Central heating"", ""Body soap"", ""Nespresso machine""]",99.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,10,38,66,66,10,9,9,2021-12-05,4.89,5.0,4.89,5.0,4.89,5.0,4.89,f,2,0,2,0,10.0
1906,"Amsterdam, North Holland, Netherlands",within an hour,100,99,f,unknown,0,0,"['email', 'phone']",t,t,Centrum-West,52.36875,4.88578,Private room in bed and breakfast,Private room,2,1 private bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hair dryer"", ""Waterfront"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Dining table"", ""Window guards"", ""Cooking basics"", ""Radiant heating"", ""Single level home"", ""Cleaning products"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Long term stays allowed"", ""Mosquito net"", ""Fire extinguisher"", ""Portable fans"", ""Wifi"", ""Outdoor furniture"", ""Essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Cleaning before checkout"", ""Crib"", ""Coffee maker"", ""Bikes"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Microwave"", ""Body soap"", ""Clothing storage: wardrobe"", ""Host greets you"", ""Outlet covers"", ""Nespresso machine"", ""Portable heater"", ""Dishwasher"", ""Conditioner"", ""Oven"", ""Freezer"", ""Private patio or balcony"", ""Private fenced garden or backyard"", ""Paid street parking off premises"", ""Free washer \u2013 In unit"", ""Gas stove"", ""Wine glasses""]",116.0,1,30,1.0,1.0,30.0,30.0,1.0,30.0,t,3,7,8,42,39,39,14,2021-12-03,4.9,4.87,4.85,4.97,5.0,4.97,4.85,t,1,0,1,0,15.0
1907,NL,unknown,0,0,f,unknown,0,0,"['email', 'phone']",t,t,Zuid,52.35553,4.86991,Private room in bed and breakfast,Private room,2,1 private bath,1.0,1.0,"[""Body soap"", ""First aid kit"", ""Hangers"", ""Bathtub"", ""Shampoo"", ""Shower gel"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Long term stays allowed"", ""Bed linens"", ""Fire extinguisher"", ""Wifi"", ""Carbon monoxide alarm"", ""Elevator"", ""Essentials""]",143.0,2,365,2.0,3.0,365.0,365.0,2.1,365.0,t,23,51,81,137,3,3,1,2021-11-14,4.67,5.0,5.0,4.67,5.0,5.0,4.67,t,2,0,2,0,1.18
1908,"Amsterdam, North Holland, Netherlands",within an hour,100,98,t,unknown,0,0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Westerpark,52.39484,4.87775,Private room in bed and breakfast,Private room,2,1 private bath,1.577414409810935,1.0,"[""Luggage dropoff allowed"", ""Outdoor dining area"", ""Board games"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hair dryer"", ""Waterfront"", ""Mini fridge"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Paid parking garage on premises \u2013 1 space"", ""Dining table"", ""Radiant heating"", ""Single level home"", ""Children\u2019s books and toys for ages 10+ years old"", ""Cleaning products"", ""Babysitter recommendations"", ""Long term stays allowed"", ""bang & oluffsen sound system with aux"", ""Fire extinguisher"", ""Wifi"", ""Portable fans"", ""Outdoor furniture"", ""Essentials"", ""First aid kit"", ""Wine glasses"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Laundromat nearby"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Elevator"", ""Body soap"", ""Freezer"", ""Paid parking off premises"", ""Host greets you"", ""Nespresso machine"", ""Private patio or balcony"", ""Dedicated workspace"", ""Clothing storage: dresser""]",101.0,2,1125,1.0,3.0,1125.0,1125.0,2.0,1125.0,t,14,19,19,19,25,16,0,2021-10-24,4.88,5.0,4.92,4.92,4.84,4.8,4.72,t,1,0,1,0,1.7
1909,"Amsterdam, North Holland, Netherlands",unknown,0,0,t,Watergraafsmeer,0,0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Watergraafsmeer,52.34143,4.94729,Private room in residential home,Private room,2,1 shared bath,1.0,1.0,"[""Extra pillows and blankets"", ""Hair dryer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Single level home"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Backyard"", ""Lock on bedroom door"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Paid parking off premises"", ""Dedicated workspace"", ""Heating""]",60.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,0,0,0,14,0,0,2020-02-23,4.93,4.57,4.71,4.93,4.86,4.5,4.71,t,1,0,1,0,0.59
1910,"Amsterdam, North Holland, Netherlands",within a day,50,0,f,Oud-West,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,De Baarsjes - Oud-West,52.36547,4.87387,Entire rental unit,Entire home/apt,4,1 bath,2.0,1.0,"[""Luggage dropoff allowed"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Portable fans"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cable TV"", ""Host greets you"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating""]",314.0,3,30,3.0,3.0,30.0,30.0,3.0,30.0,t,29,59,89,89,4,0,0,2019-11-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.15
1911,"Amsterdam, North Holland, The Netherlands",within a day,100,60,f,Oud-West,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,De Baarsjes - Oud-West,52.36042,4.86161,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""EV charger"", ""Microwave"", ""Carbon monoxide alarm"", ""Cable TV"", ""Paid parking off premises"", ""Bathtub"", ""Host greets you"", ""Private hot tub"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating""]",285.0,3,30,2.0,3.0,1125.0,1125.0,2.9,1125.0,t,14,19,19,19,49,2,0,2021-08-10,4.86,4.88,4.73,4.9,4.92,4.8,4.63,f,1,1,0,0,0.73
1912,"Amsterdam, North Holland, Netherlands",within a few hours,100,83,f,unknown,1,1,"['email', 'phone', 'reviews']",t,f,Slotervaart,52.36124,4.82079,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,"[""Free parking on premises"", ""Hair dryer"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Outdoor furniture"", ""Wifi"", ""Essentials"", ""Shampoo"", ""BBQ grill"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""Backyard"", ""Cable TV"", ""Lake access"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",130.0,3,1124,3.0,3.0,1124.0,1124.0,3.0,1124.0,t,28,58,88,88,8,0,0,2018-05-20,5.0,5.0,5.0,5.0,5.0,4.71,4.86,f,1,1,0,0,0.14
1913,"Amsterdam, North Holland, Netherlands",within a few hours,100,80,f,unknown,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Westerpark,52.394,4.87882,Entire rental unit,Entire home/apt,2,1 bath,1.577414409810935,1.0,"[""Hair dryer"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Shampoo"", ""Kitchen"", ""Smoke alarm"", ""Microwave"", ""Carbon monoxide alarm"", ""Elevator"", ""Cable TV"", ""Dedicated workspace"", ""Heating""]",74.0,3,30,3.0,3.0,30.0,30.0,3.0,30.0,t,0,0,0,0,43,2,0,2019-11-10,4.98,4.93,4.98,5.0,4.95,4.47,4.79,f,1,1,0,0,0.69
1914,"Amsterdam, North Holland, Netherlands",within a day,100,36,f,Oud-West,1,1,"['email', 'phone', 'reviews']",t,f,Zuid,52.35697,4.85934,Entire rental unit,Entire home/apt,4,2.5 baths,2.0,2.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Cable TV"", ""Bathtub"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",165.0,4,30,4.0,4.0,30.0,30.0,4.0,30.0,t,0,4,34,34,11,3,0,2019-10-20,4.91,5.0,4.82,5.0,4.82,5.0,4.82,f,1,1,0,0,0.31
1915,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,Oud-West,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,De Baarsjes - Oud-West,52.37097,4.86825,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Patio or balcony""]",120.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,8,8,8,12,0,0,2019-08-17,4.83,4.83,4.67,5.0,5.0,4.92,4.33,t,1,1,0,0,0.43
1916,"Amsterdam, Noord-Holland, Netherlands",unknown,0,99,f,Oud-West,0,0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,De Baarsjes - Oud-West,52.36884,4.86235,Entire rental unit,Entire home/apt,4,1 bath,2.0,4.0,"[""Hangers"", ""Shampoo"", ""Kitchen"", ""Private entrance"", ""TV"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""Wifi"", ""Dryer"", ""Iron"", ""Essentials""]",150.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,t,0,0,0,0,32,10,0,2019-08-18,4.69,4.88,4.72,4.94,4.81,4.81,4.53,t,9,4,5,0,1.15
1917,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,Hoofddorppleinbuurt,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Zuid,52.35555,4.85095,Entire residential home,Entire home/apt,7,2 baths,5.0,6.0,"[""Hangers"", ""Hair dryer"", ""Kitchen"", ""Private entrance"", ""TV"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Washer"", ""Wifi"", ""Dryer"", ""Iron"", ""Essentials""]",450.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,0,1,1,2,6,0,0,2019-06-10,4.8,4.8,4.4,5.0,5.0,4.8,4.6,f,1,1,0,0,0.19
1918,"Amsterdam, North Holland, Netherlands",within an hour,100,98,t,unknown,1,1,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Bijlmer-Oost,52.31835,4.9898,Private room in guest suite,Private room,2,1 private bath,1.577414409810935,1.0,"[""Free washer \u2013 In building"", ""Extra pillows and blankets"", ""Dedicated workspace: table"", ""Hair dryer"", ""Mini fridge"", ""Dishes and silverware"", ""Hangers"", ""Free street parking"", ""Single level home"", ""Free dryer \u2013 In building"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi \u2013 22 Mbps"", ""Essentials"", ""First aid kit"", ""Crib"", ""Free driveway parking on premises \u2013 1 space"", ""Clothing storage: closet"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Laundromat nearby"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Lock on bedroom door"", ""High chair"", ""Bed linens"", ""Microwave"", ""Central heating"", ""Baby bath"", ""Body soap"", ""40\"" HDTV with Netflix"", ""Bathtub"", ""Private patio or balcony"", ""Portable heater"", ""Oven"", ""Conditioner"", ""Lockbox""]",65.0,2,60,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0,41,28,5,2021-10-31,4.9,4.88,4.98,4.95,5.0,4.5,4.83,f,1,0,1,0,1.7
1919,"Amsterdam, North Holland, Netherlands",within an hour,100,100,t,Museumkwartier,3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Zuid,52.35518,4.881,Private room in townhouse,Private room,1,1.5 shared baths,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Piano"", ""Hangers"", ""Dining table"", ""Cleaning products"", ""Refrigerator"", ""Long term stays allowed"", ""Outdoor furniture"", ""Wifi"", ""Essentials"", ""Cleaning before checkout"", ""Clothing storage: closet"", ""Indoor fireplace"", ""Shampoo"", ""Shower gel"", ""Kitchen"", ""Laundromat nearby"", ""Hot water"", ""logitech  sound system"", ""Smoke alarm"", ""Bikes"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Bathtub"", ""Security cameras on property"", ""Host greets you"", ""Paid valet parking on premises"", ""Shared patio or balcony"", ""Heating"", ""Shared hot tub"", ""Wine glasses""]",58.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,24,54,84,356,254,10,2,2021-11-13,4.7,4.85,4.82,4.86,4.89,4.94,4.62,f,3,0,3,0,3.75
1920,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,De Pijp,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id']",t,t,De Pijp - Rivierenbuurt,52.35582,4.89172,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Luggage dropoff allowed"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Cooking basics"", ""TV with standard cable"", ""Long term stays allowed"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Cable TV"", ""Paid parking off premises"", ""Host greets you"", ""Oven"", ""Dishwasher"", ""Dedicated workspace"", ""Heating""]",400.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,28,58,88,363,35,4,1,2019-04-14,4.65,4.79,4.33,4.94,4.97,4.85,4.39,t,1,1,0,0,0.4
1921,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,unknown,15,15,"['email', 'phone', 'work_email']",t,t,Centrum-Oost,52.36575,4.90896,Entire rental unit,Entire home/apt,2,2 baths,1.0,2.0,"[""Hair dryer"", ""Shampoo"", ""Room-darkening shades"", ""Kitchen"", ""TV"", ""Heating"", ""Smoke alarm"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Washer"", ""Wifi"", ""Iron""]",248.0,7,99,7.0,7.0,180.0,180.0,7.0,180.0,t,26,56,86,361,0,0,0,0,0,0,0,0,0,0,0,t,15,15,0,0,0
1922,"Amsterdam, North Holland, The Netherlands",within a day,100,0,t,Oostelijke Eilanden en Kadijken,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Centrum-Oost,52.36877,4.93114,Private room in condominium (condo),Private room,2,1 shared bath,1.0,1.0,"[""First aid kit"", ""Hangers"", ""Extra pillows and blankets"", ""Breakfast"", ""Hair dryer"", ""Shampoo"", ""Host greets you"", ""Hot water"", ""Smoke alarm"", ""Long term stays allowed"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Wifi"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Elevator"", ""Essentials""]",85.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,249,217,0,0,2019-11-06,4.87,4.88,4.99,4.94,4.92,4.65,4.8,f,1,0,1,0,2.76
1923,"Amsterdam, North Holland, Netherlands",a few days or more,0,50,f,Buitenveldert-West,1,1,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Buitenveldert - Zuidas,52.3243,4.87289,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Cleaning before checkout"", ""Shampoo"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Paid parking off premises"", ""Oven"", ""Dedicated workspace"", ""Heating"", ""Lockbox""]",69.0,2,1125,2.0,3.0,1125.0,1125.0,2.3,1125.0,t,4,34,64,64,75,0,0,2020-02-09,4.82,4.92,4.95,4.79,4.85,4.64,4.74,f,1,0,1,0,1.89
1924,"Amsterdam, North Holland, Netherlands",unknown,0,0,f,Weesperbuurt en Plantage,1,1,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Centrum-Oost,52.36372,4.9217,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,"[""Stove"", ""Washer"", ""Dishes and silverware"", ""Dryer"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Refrigerator"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Kitchen"", ""Hot water"", ""TV"", ""Bed linens"", ""Microwave"", ""Paid parking on premises"", ""Oven"", ""Dishwasher"", ""Heating"", ""Patio or balcony""]",155.0,2,20,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0,12,0,0,2020-01-31,4.75,4.58,4.25,4.92,5.0,5.0,4.5,t,1,1,0,0,0.32
1925,NL,unknown,0,0,f,unknown,2,2,['phone'],t,f,De Baarsjes - Oud-West,52.36922,4.87439,Entire condominium (condo),Entire home/apt,2,1 bath,1.0,1.9564237415477086,"[""Hair dryer"", ""Cooking basics"", ""Kitchen"", ""Private entrance"", ""Hot water"", ""TV"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Washer"", ""Wifi"", ""Dryer"", ""Iron"", ""Essentials""]",120.0,3,30,3.0,3.0,30.0,30.0,3.0,30.0,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,2,2,0,0,0
1926,"Amsterdam, North Holland, Netherlands",within an hour,100,100,f,unknown,0,0,['phone'],t,t,Buitenveldert - Zuidas,52.3247,4.86559,Private room in residential home,Private room,2,1 shared bath,1.577414409810935,1.0,"[""Air conditioning"", ""Extra pillows and blankets"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Iron"", ""Hangers"", ""Hot tub"", ""Long term stays allowed"", ""Babysitter recommendations"", ""Fire extinguisher"", ""Wifi"", ""Portable fans"", ""Essentials"", ""First aid kit"", ""Coffee maker"", ""Shampoo"", ""Shower gel"", ""Room-darkening shades"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Clothing storage"", ""Body soap"", ""Bathtub"", ""Security cameras on property"", ""Heating""]",68.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t,3,0,3,0,0
1927,"Amsterdam, North Holland, Netherlands",within a day,62,95,f,Museumkwartier,6,6,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Centrum-West,52.37583,4.88193,Entire serviced apartment,Entire home/apt,4,2 baths,2.0,2.0,"[""Hangers"", ""Cooking basics"", ""Kitchen"", ""Private entrance"", ""TV"", ""Heating"", ""Smoke alarm"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Wifi"", ""Dryer"", ""Essentials""]",119.0,5,250,2.0,5.0,1125.0,1125.0,5.0,1125.0,t,6,6,6,135,3,3,0,2021-08-05,4.33,4.67,4.67,5.0,4.67,5.0,4.67,f,6,6,0,0,0.54
1928,"Amsterdam, North Holland, The Netherlands",within an hour,100,98,t,Grachtengordel,4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Centrum-West,52.37767,4.8928,Private room in bed and breakfast,Private room,4,1 private bath,2.0,2.0,"[""Air conditioning"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dishes and silverware"", ""Iron"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Coffee maker"", ""Shampoo"", ""Hot water"", ""TV"", ""Smoke alarm"", ""Lock on bedroom door"", ""Bed linens"", ""Paid parking off premises"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Lockbox""]",175.0,1,1125,1.0,3.0,1125.0,1125.0,1.9,1125.0,t,17,22,22,22,54,17,0,2021-08-03,4.42,4.57,4.34,4.79,4.6,4.87,4.32,t,1,0,1,0,1.51
